property,subject,object,remarks
isA,owl:Thing,string,
hasColor,uwds:Object,uwds:Color,
hasShape,uwds:Object,uwds:Shape,
hasName,uwds:Object,string,
isOn,uwds:Object,uwds:Object,view-independent
isIn,uwds:Object,uwds:Object,view-independent
isBehind,uwds:Object,uwds:TangibleThingLocalized,ego-centered
isBelow,uwds:Object,uwds:Object,view-independent
isAbove,uwds:Object,uwds:Object,view-independent
isInFrontOf,uwds:Object,uwds:Agent,ego-centered
isOnLeftOf,uwds:Object,uwds:Object,ego-centered
isOnRightOf,uwds:Object,uwds:Object,ego-centered
isInContactWith,uwds:Object,uwds:Object,view-independent
isPointingAt,uwds:Agent,uwds:Object,
isLookingAt,uwds:Agent,uwds:Object,
isPerceivedBy,uwds:Object,uwds:Agent,
isVisibleBy,uwds:Object,uwds:Agent,capability
isReachableBy,uwds:Object,uwds:Agent,capability
isHeldBy,uwds:Object,uwds:Agent,
isInFieldOfViewOf,uwds:Object,uwds:Agent,
Support,uwds:Object,uwds:Object,
Contains,uwds:Object,uwds:Object,
isHeavy,uwds:Object,bool,
isLightweight,uwds:Object,bool,affordance
isLiftable,uwds:Object,bool,affordance
isGraspable,uwds:Object,bool,affordance
isStable,uwds:Object,bool,
isContainer,uwds:Object,bool,affordance
isSupport,uwds:Object,bool,affordance
